gpu_type,model_size,batch_size,learning_rate,seq_length,run_id,training_time_hrs,energy_kwh,efficiency_tok_per_watt
A100,7B,256,1e-05,512,1,2.0247,0.6767,1041.8987
A100,7B,256,1e-05,512,2,2.0691,0.7339,981.6916
A100,7B,256,1e-05,512,3,1.7997,0.5966,1050.4273
A100,7B,256,1e-05,1024,1,2.8383,1.0121,690.5203
A100,7B,256,1e-05,1024,2,2.818,0.9885,701.9325
A100,7B,256,1e-05,1024,3,2.9443,1.0847,668.3735
A100,7B,256,1e-05,2048,1,4.0017,1.5658,444.9631
A100,7B,256,1e-05,2048,2,4.0818,1.5051,472.1829
A100,7B,256,1e-05,2048,3,4.0621,1.4932,473.6354
A100,7B,256,1e-05,4096,1,5.8884,2.3518,308.2478
A100,7B,256,1e-05,4096,2,5.5885,2.1897,314.2046
A100,7B,256,1e-05,4096,3,5.9854,2.3831,309.2196
A100,7B,256,5e-05,512,1,1.6257,0.5549,1020.169
A100,7B,256,5e-05,512,2,1.7055,0.5948,998.4457
A100,7B,256,5e-05,512,3,1.6956,0.5925,996.5124
A100,7B,256,5e-05,1024,1,2.601,0.9249,692.4113
A100,7B,256,5e-05,1024,2,2.2892,0.804,701.0848
A100,7B,256,5e-05,1024,3,2.4218,0.9014,661.5625
A100,7B,256,5e-05,2048,1,3.3037,1.2189,471.9048
A100,7B,256,5e-05,2048,2,3.1856,1.2293,451.2041
A100,7B,256,5e-05,2048,3,3.4461,1.3256,452.635
A100,7B,256,5e-05,4096,1,4.5425,1.8296,305.6572
A100,7B,256,5e-05,4096,2,4.7263,1.9029,305.78
A100,7B,256,5e-05,4096,3,4.9036,1.9746,305.7353
A100,7B,256,0.0001,512,1,1.6496,0.5702,1007.3497
A100,7B,256,0.0001,512,2,1.6185,0.5689,990.6307
A100,7B,256,0.0001,512,3,1.4792,0.5054,1019.1659
A100,7B,256,0.0001,1024,1,2.2032,0.7779,697.3345
A100,7B,256,0.0001,1024,2,2.2252,0.837,654.611
A100,7B,256,0.0001,1024,3,2.1586,0.7997,664.6618
A100,7B,256,0.0001,2048,1,2.9223,1.095,464.679
A100,7B,256,0.0001,2048,2,3.2168,1.2389,452.0603
A100,7B,256,0.0001,2048,3,3.3043,1.2804,449.3166
A100,7B,256,0.0001,4096,1,4.4338,1.7489,312.1153
A100,7B,256,0.0001,4096,2,4.7061,1.8716,309.5627
A100,7B,256,0.0001,4096,3,4.2247,1.6324,318.6187
A100,7B,256,0.0005,512,1,1.7444,0.6108,994.5583
A100,7B,256,0.0005,512,2,1.8415,0.6484,988.9072
A100,7B,256,0.0005,512,3,1.7894,0.6203,1004.6138
A100,7B,256,0.0005,1024,1,2.6668,0.9511,690.3761
A100,7B,256,0.0005,1024,2,2.6449,0.9333,697.8264
A100,7B,256,0.0005,1024,3,2.5389,0.9036,691.8928
A100,7B,256,0.0005,2048,1,3.4383,1.3204,453.387
A100,7B,256,0.0005,2048,2,3.5712,1.3522,459.8382
A100,7B,256,0.0005,2048,3,3.7449,1.4364,453.9298
A100,7B,256,0.0005,4096,1,5.3438,2.1312,308.6982
A100,7B,256,0.0005,4096,2,5.0623,2.0201,308.524
A100,7B,256,0.0005,4096,3,4.7354,1.8119,321.7546
A100,7B,512,1e-05,512,1,1.0332,0.3624,1789.5916
A100,7B,512,1e-05,512,2,1.1285,0.3969,1784.5272
A100,7B,512,1e-05,512,3,1.0855,0.4077,1670.9243
A100,7B,512,1e-05,1024,1,1.5368,0.5915,1153.0981
A100,7B,512,1e-05,1024,2,1.4916,0.5582,1185.9199
